,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
14191,C[C@H]1Cc2c(Cl)cc(C(=O)N[C@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3S14R-OCHRATOXIN A,598315,598315,598315,598315,14191
14192,Cc1onc(C(=O)O)c1C[C@H](N)C(=O)O,,598398,598398,598398,598398,14192
14193,CCc1onc(C(=O)O)c1C[C@H](N)C(=O)O,,598399,598399,598399,598399,14193
14194,COC(C)c1onc(C(=O)O)c1C[C@H](N)C(=O)O,,598400,598400,598400,598400,14194
14195,Cc1onc(C(=O)O)c1CC(N)P(=O)(O)O,,598443,598443,598443,598443,14195
14196,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,CAMOSTAT,598444,598444,598444,598444,14196
14197,COC(=O)Cc1ccc(O)c(Cl)c1,,598458,598458,598458,598458,14197
14198,COCc1onc(C(=O)O)c1C[C@H](N)C(=O)O,,598480,598480,598480,598480,14198
14199,CC1CCc2ccccc2N1,,598522,598522,598522,598522,14199
14200,CC(C)c1ccc(O)c(CC[C@@H]2[C@@H](C)CC[C@H](O)C2(C)C)c1,NEGUNDOIN F,598538,598538,598538,598538,14200
14201,CC(C)[C@H](N)C(=O)OCc1cccc(NC(=N)N)c1,,598558,598558,598558,598558,14201
14202,CC[C@H](C)[C@H](N)C(=O)OCc1cccc(NC(=N)N)c1,,598559,598559,598559,598559,14202
14203,CCCCCCCCCCCCCCCCNC(=O)c1ccc(OC)cc1,,598577,598577,598577,598577,14203
14204,CCCCCCCCCCCCCCCC(=O)OC1CCCC1,CYCLOPENTYL PALMITATE,598578,598578,598578,598578,14204
14205,CCCCCCCCCCCCCCCC(=O)Oc1ccc(OC)cc1,,598579,598579,598579,598579,14205
14206,CCCCCCCCCCCCCCCC(=O)OC1CCC1,CYCLOBUTYL PALMITATE,598580,598580,598580,598580,14206
14207,CCCCCCCCCCCCCCCCOC(=O)C1CCCC1,HEXADECYL CYCLOPENTANECARBOXYLATE,598581,598581,598581,598581,14207
14208,CCCCCCCCCCCCCCCCOC(=O)c1ccc(OC)cc1,,598644,598644,598644,598644,14208
14209,CCCCCCCCCCCCCCCCOC(=O)NC1CCCCC1,HEXADECYL CYCLOHEXYLCARBAMATE,598645,598645,598645,598645,14209
14210,CCCCCCCCCCCCCCC(=O)OC1CCCC1,CYCLOPENTYL PENTADECANOATE,598646,598646,598646,598646,14210
