,cell_name,id_24,id_25,id_26,id_27
292,HEK293-EBNA,5568,5568,5568,5568
293,SK-N-SH,756,756,756,756
294,CAPAN-1,634,634,634,634
295,HCC 2998,451,451,451,451
296,HCT-116,721,721,721,721
297,SW-620,305,305,305,305
298,SW48,58,58,58,58
299,HCT-15,306,306,306,306
300,KM12,690,690,690,690
301,Colon carcinoma cell,795,795,795,795
302,Panel colon (Carcinoma cell lines),614,614,614,614
303,Clone 62,813,813,813,813
304,LoVo,693,693,693,693
305,Colon cell,615,615,615,615
306,Cerebellar granule neurone,607,607,607,607
307,COLO1,1026,1026,1026,1026
308,Col2,612,612,612,612
309,HT-1080,651,651,651,651
310,COLO 480,44,44,44,44
311,LNCaP,330,330,330,330
312,DC3F,1,1,1,1
313,DC3F/AD,131,131,131,131
314,DC3F/AD-II,132,132,132,132
315,DLD-1,565,565,565,565
316,JEG-3,1529,1529,1529,1529
317,DLKP cell line,1042,1042,1042,1042
318,DMS-114,667,667,667,667
319,DMS-273,486,486,486,486
320,MRC5,538,538,538,538
321,D-38,1040,1040,1040,1040
322,D283 Med,1036,1036,1036,1036
323,D34,1037,1037,1037,1037
324,D341 cell line,1038,1038,1038,1038
325,D3F,961,961,961,961
326,D54 cell line,814,814,814,814
327,DA-3 cell line,1041,1041,1041,1041
328,DAN-G,45,45,45,45
329,Daoy,331,331,331,331
330,Daudi,564,564,564,564
331,DuPro,288,288,288,288
332,Detroit 98,60,60,60,60
333,Detroit 551,133,133,133,133
334,NCI-H460,676,676,676,676
335,L1210 ( R81),204,204,204,204
336,L5178Y,692,692,692,692
337,DO4,567,567,567,567
338,DOD-1,1043,1043,1043,1043
339,J774.2,1044,1044,1044,1044
340,SCH,1327,1327,1327,1327
341,SK-N-MC,531,531,531,531
342,MES-SA/Dx5,782,782,782,782
343,LLC-PK1,650,650,650,650
344,E1 SM,135,135,135,135
345,MMQ,81,81,81,81
346,Ehrlich,666,666,666,666
347,A7R5,5573,5573,5573,5573
348,P3HR-1,2,2,2,2
349,EBV-positive nasopharyngeal cell line,962,962,962,962
350,ECV-304,487,487,487,487
351,ECa-109 cell line,1081,1081,1081,1081
352,EJ,568,568,568,568
353,Bladder carcinoma cell,720,720,720,720
354,EL4,569,569,569,569
355,HLE,1393,1393,1393,1393
356,EMT6,570,570,570,570
357,ESM,1049,1049,1049,1049
358,EVSA-T,137,137,137,137
359,F2002 cell line,1111,1111,1111,1111
360,F460pv8/eto,1050,1050,1050,1050
361,F9,289,289,289,289
362,FaDu,302,302,302,302
363,FHC,1072,1072,1072,1072
364,HN5,804,804,804,804
365,HEC-1,1257,1257,1257,1257
366,Epidermoid carcinoma cell line,1098,1098,1098,1098
367,HMEC,696,696,696,696
368,Epithelial cell,617,617,617,617
369,Bone marrow cell,5580,5580,5580,5580
373,SH-SY5Y,749,749,749,749
374,SAOS-2,746,746,746,746
375,Erythroleukemia cell line,963,963,963,963
376,MOLT-3,536,536,536,536
377,Faza 967 cell clone 2/T1,1051,1051,1051,1051
378,Faza 967 clone 2,1052,1052,1052,1052
379,HFF,502,502,502,502
380,Friend leukemia cell line,1056,1056,1056,1056
381,H4,1251,1251,1251,1251
383,FM3A,571,571,571,571
384,FME,964,964,964,964
385,G-292 ,138,138,138,138
386,G-361,488,488,488,488
387,G-401,21,21,21,21
388,G-402,1247,1247,1247,1247
389,Rat1,662,662,662,662
390,GBM,190,190,190,190
391,GC3/Cl,1112,1112,1112,1112
392,GC3/MTK-,965,965,965,965
393,HUVEC,473,473,473,473
394,GC3M(-),1058,1058,1058,1058
395,GCT,1352,1352,1352,1352
396,GH3,647,647,647,647
397,GH4-C1,299,299,299,299
398,GHOST CCR5,1059,1059,1059,1059
399,GHOST CXCR4,819,819,819,819
400,Fibroblast MRHF cell line,1053,1053,1053,1053
401,GLC4 cell line,842,842,842,842
402,GLIOMA#108,1061,1061,1061,1061
403,GLIOMA#112,966,966,966,966
404,GM892A cell line,1062,1062,1062,1062
405,IGROV-1,474,474,474,474
406,GTL 16 cell line,1199,1199,1199,1199
407,Fibrosarcoma cell line,817,817,817,817
408,IM-9,198,198,198,198
409,MDCK,499,499,499,499
410,Granta,820,820,820,820
411,Ventricular myocyte,5552,5552,5552,5552
412,Glioblastoma cell line,1060,1060,1060,1060
413,NCI-H446,776,776,776,776
414,NCI-H520,936,936,936,936
415,NCI-H596,821,821,821,821
416,NCH82,93,93,93,93
417,H322,191,191,191,191
418,NCI-H358,523,523,523,523
419,H9,718,718,718,718
420,HCT-8,409,409,409,409
421,HCT cell line,1076,1076,1076,1076
422,NCI-H522,600,600,600,600
423,H-81,192,192,192,192
424,H-EMC-SS,1250,1250,1250,1250
425,HEp-2,697,697,697,697
426,NCI-H928,1129,1129,1129,1129
427,H938 cell line,968,968,968,968
428,HA22T cell line,1142,1142,1142,1142
429,HAL-01,1579,1579,1579,1579
430,HB4a,1130,1130,1130,1130
431,HBL,501,501,501,501
432,HBL-100,719,719,719,719
433,Huh-7 ,489,489,489,489
434,HCEC,1145,1145,1145,1145
435,HCLO cell line,1146,1146,1146,1146
436,NCI-H125,967,967,967,967
437,NCI-H157,710,710,710,710
438,MRI-H-207,1063,1063,1063,1063
439,NCI-H226,701,701,701,701
440,NCI-H23,763,763,763,763
441,NCI-H292,1116,1116,1116,1116
442,H2981 cell line,1141,1141,1141,1141
443,H2987 cell line,1082,1082,1082,1082
444,NCI-H322M,715,715,715,715
445,H35R0.3,530,530,530,530
446,H35,711,711,711,711
447,MT4,522,522,522,522
448,HMV-1 cell line,1155,1155,1155,1155
449,HMV-2 cell line,1156,1156,1156,1156
450,HN006 cell line,1157,1157,1157,1157
451,HNBM,1078,1078,1078,1078
452,HNO 97 cell line,1143,1143,1143,1143
453,HNO199 cell line,822,822,822,822
454,HOC-21 cell line,1158,1158,1158,1158
455,HONE1 cell line,1159,1159,1159,1159
456,HOP-62,668,668,668,668
457,HOP-18,810,810,810,810
458,HEL 299,1150,1150,1150,1150
459,MT2,539,539,539,539
460,HOP-19,1161,1161,1161,1161
461,HOP-92,469,469,469,469
462,HES,1077,1077,1077,1077
463,HCT-29,1148,1148,1148,1148
464,HEC-1B cell line,1149,1149,1149,1149
465,HEF,969,969,969,969
466,Neuron,423,423,423,423
468,HMCB cell line,1154,1154,1154,1154
469,HK,1153,1153,1153,1153
470,HT-1376,304,304,304,304
471,HOS,698,698,698,698
472,HRT-18 cell line,1163,1163,1163,1163
473,U-87 MG,560,560,560,560
474,HuT78,472,472,472,472
475,HS27,677,677,677,677
476,HSC-3,309,309,309,309
477,HSF (VGS),1006,1006,1006,1006
478,HSV-2,1114,1114,1114,1114
479,HX62 cell line,1090,1090,1090,1090
480,HXO-RB44 cell line,884,884,884,884
481,HaCaT,604,604,604,604
482,HT1197,725,725,725,725
483,HT-137,1079,1079,1079,1079
484,HT-22,576,576,576,576
485,Hepatoblastoma cell line,1151,1151,1151,1151
486,Hepatoma cell line,1152,1152,1152,1152
488,U373 MG,273,273,273,273
489,WI-38,603,603,603,603
490,T-lymphocyte,534,534,534,534
491,Keratinocyte cell line,1092,1092,1092,1092
492,NUGC-3,545,545,545,545
493,Panel (Carcinoma cell lines),322,322,322,322
494,C20/A4,461,461,461,461
495,KHOS-321H ,199,199,199,199
496,PBMC,394,394,394,394
498,MFH-ST,1137,1137,1137,1137
499,MG-63,154,154,154,154
500,MKN-28,589,589,589,589
501,HOS-TE85,46,46,46,46
502,NCC,92,92,92,92
503,NUGC-4,29,29,29,29
504,OST,546,546,546,546
505,PC-13,937,937,937,937
506,PC-6,556,556,556,556
507,PC-8,938,938,938,938
508,PC-9,939,939,939,939
509,Leukemia cell,727,727,727,727
511,QG-56,828,828,828,828
512,SCLC,333,333,333,333
513,SK-ES1,877,877,877,877
514,SK-OV-3,757,757,757,757
515,ST-KM-1,879,879,879,879
516,LXFL 529,515,515,515,515
517,Lung cancer cell line,1133,1133,1133,1133
519,Lymphoblastoid cell,686,686,686,686
520,MOLT-4F,25,25,25,25
521,TSU,470,470,470,470
522,U2OS,771,771,771,771
523,MAXF401 cell line,840,840,840,840
524,K562,655,655,655,655
525,SNU-16,37,37,37,37
526,KM-20L2,809,809,809,809
527,Colon adenocarcinoma cell line,1168,1168,1168,1168
528,RKO,740,740,740,740
529,Colon cell line,1169,1169,1169,1169
530,Lymphoma cell line,949,949,949,949
531,Coronary artery smooth muscle cell line,1117,1117,1117,1117
532,RPMI-7951,327,327,327,327
533,A20,783,783,783,783
534,Monocyte,507,507,507,507
537,HSVEC,319,319,319,319
538,Hs68,194,194,194,194
539,Hs746T,300,300,300,300
540,HuCCT-1 ,195,195,195,195
541,HuTu80,196,196,196,196
542,MKN-45,590,590,590,590
543,Tumor cancer cell line,1068,1068,1068,1068
544,ISF-539,888,888,888,888
545,IGR-37 cell line,887,887,887,887
546,J82,800,800,800,800
547,J774,518,518,518,518
548,J774.A1,490,490,490,490
549,JAM cell line,889,889,889,889
550,JAR,653,653,653,653
551,JM1,774,774,774,774
552,RAW,201,201,201,201
553,IA-XsSBR cell line,905,905,905,905
554,1A9/ptx-10,619,619,619,619
555,Prostatic carcinoma cell,313,313,313,313
556,RXF 944,223,223,223,223
557,KB 3-1,656,656,656,656
558,L1210 (1565),900,900,900,900
559,L1210 (R7A),206,206,206,206
560,SK-MEL-2,753,753,753,753
561,PSN1,122,122,122,122
562,KB VCR R,894,894,894,894
563,K177cell line,1091,1091,1091,1091
564,KBALB cell line,907,907,907,907
565,KBALB-STK,895,895,895,895
566,KBM-3 cell line,908,908,908,908
567,KBM-3/DOX cell line,896,896,896,896
568,KG-1,826,826,826,826
569,KK-47 cell line,1086,1086,1086,1086
570,KKLS,897,897,897,897
571,Jensen sarcoma,22,22,22,22
572,JIYOYE,654,654,654,654
573,KU-2 cell line,827,827,827,827
574,KU812 cell line,898,898,898,898
575,KYSE-150 cell line,899,899,899,899
576,KYSE-510,459,459,459,459
577,KYSE-520 cell line,839,839,839,839
578,KYSE-70 cell line,910,910,910,910
579,L132,476,476,476,476
580,KAT-4 cell line,906,906,906,906
581,KATO III stomach cancer cell line,838,838,838,838
582,Kasumi 1,890,890,890,890
583,Keratinocyte,475,475,475,475
585,L6,803,803,803,803
586,L1210/2,208,208,208,208
587,L1210/Adr,209,209,209,209
588,L1210/LPAM,212,212,212,212
589,L1210/TK-,213,213,213,213
590,L1210/ara C,210,210,210,210
591,L1210/C,211,211,211,211
592,LX-830 cell line,1097,1097,1097,1097
593,LXF-289 cell line,944,944,944,944
594,LXFL 529/ LXFS 538,945,945,945,945
595,LXFL 529/11,915,915,915,915
596,LXFS538,947,947,947,947
597,LY3.7.2C TK-/- cell line,916,916,916,916
598,SR,572,572,572,572
599,Panel leukemia (Carcinoma cell lines),510,510,510,510
600,L1210 (RD1694),207,207,207,207
601,L1210 (DACH),47,47,47,47
602,L1210 (DDP5),277,277,277,277
603,L1210 (PtR4),205,205,205,205
604,Leukemic tumor cell line,926,926,926,926
605,L2987,801,801,801,801
606,Laryngeal epithelioma cell line,901,901,901,901
607,LAPC4,397,397,397,397
608,LC-06 cell line,902,902,902,902
609,MDA-MB-435,687,687,687,687
610,LCLC,911,911,911,911
611,LCLC-103H cell line,919,919,919,919
612,LDV-7 cell line,920,920,920,920
613,LFCl2A,1094,1094,1094,1094
614,Lewis lung carcinoma cell line,928,928,928,928
615,LLC-MK2,684,684,684,684
616,LLTC cell line,933,933,933,933
617,LMM3 cell line,934,934,934,934
618,LOX IMVI ,512,512,512,512
619,LS174T,513,513,513,513
620,LT12 tumor cell line,935,935,935,935
621,leukaemia cell line,922,922,922,922
622,Leukemia 60 cell line,912,912,912,912
623,LX-1,602,602,602,602
624,M14,577,577,577,577
625,M19-MEL,479,479,479,479
626,MDA-MB-468,583,583,583,583
627,M21,790,790,790,790
628,M2R,952,952,952,952
629,M4Beu cell line,830,830,830,830
630,MDA-MB-238,23,23,23,23
631,MDA-MB-4,955,955,955,955
632,MAC15A,517,517,517,517
633,MAC16,290,290,290,290
634,MAC26,954,954,954,954
635,MAC13,48,48,48,48
636,Malme-3M,480,480,480,480
637,Lu-65,1096,1096,1096,1096
638,Lu-99 cell line,1069,1069,1069,1069
639,NSC,425,425,425,425
642,Lung NSCLC-N6 cell-line,914,914,914,914
643,Lung cancer tumor cell line,941,941,941,941
644,Lung carcinoma cell line,942,942,942,942
645,Lvec,943,943,943,943
646,Lymphocytic cell line,1070,1070,1070,1070
647,HEK-293T,5545,5545,5545,5545
648,M,950,950,950,950
649,M109,504,504,504,504
650,M-19,951,951,951,951
651,M-5,1135,1135,1135,1135
652,MAR BEL fibroblasts cell line,1071,1071,1071,1071
653,MCF-10A,141,141,141,141
654,MCF-12A,142,142,142,142
655,MCF7-CP,144,144,144,144
656,MCF7-DOX,792,792,792,792
657,MCF7-VP,65,65,65,65
658,MCF7R,579,579,579,579
659,MCF9,147,147,147,147
660,MCF7S,580,580,580,580
661,MCR,581,581,581,581
662,MDA-MB-361,66,66,66,66
663,MM96L,535,535,535,535
664,NSO,765,765,765,765
665,Mo,1107,1107,1107,1107
666,MO/Mphi,83,83,83,83
667,MOH,84,84,84,84
668,MDAY-D2,291,291,291,291
669,MDBK441 ,584,584,584,584
670,MOPC 315,85,85,85,85
671,MOVP-3,69,69,69,69
672,MPC-11,86,86,86,86
673,MR4,87,87,87,87
674,MVLN,90,90,90,90
675,MX1,422,422,422,422
676,MDR,519,519,519,519
677,ME67.1,151,151,151,151
678,ME67.3,152,152,152,152
679,MEF,585,585,585,585
680,MEXF989,587,587,587,587
681,SK-MEL19,242,242,242,242
682,SK-MEL-28,754,754,754,754
683,SK-MEL3,244,244,244,244
684,MEL-AC cell line,1115,1115,1115,1115
685,SK-MES-1,246,246,246,246
686,MES-SA ,586,586,586,586
687,MEXF514,737,737,737,737
688,MEXF276L,521,521,521,521
689,MG-22A,153,153,153,153
690,MH1C1 ,155,155,155,155
691,MH60,156,156,156,156
692,MRC5CV1,88,88,88,88
693,MRRL-CH1,89,89,89,89
694,MIP,794,794,794,794
695,MKN-1 ,293,293,293,293
696,MKN-5 ,24,24,24,24
697,MKN-74,53,53,53,53
698,ML-2 ,591,591,591,591
699,MLF,417,417,417,417
700,MLM,1088,1088,1088,1088
701,MM418,67,67,67,67
702,MM46,79,79,79,79
703,MONO-MAC-6,1740,1740,1740,1740
704,M96,52,52,52,52
705,S91,410,410,410,410
706,SK-MEL-5,755,755,755,755
707,UACC-257,381,381,381,381
708,UACC-62,657,657,657,657
709,Melanoma cell,520,520,520,520
710,Panel melanoma (Carcinoma cell lines),310,310,310,310
711,Melanoma tumor cell line,841,841,841,841
712,Me665/2/21,150,150,150,150
713,Medulloblastoma tumour cell line,918,918,918,918
714,BTI-TN-5B1-4,5579,5579,5579,5579
715,RIF-1,739,739,739,739
716,YAC-1,276,276,276,276
717,RXF 393,743,743,743,743
718,Mo/Ma,68,68,68,68
719,Mononuclear cell line,1108,1108,1108,1108
720,Thymocyte,400,400,400,400
721,P388/ADR,550,550,550,550
722,P815,552,552,552,552
723,N9,26,26,26,26
724,P388/VCR,30,30,30,30
725,YT-NU,14,14,14,14
726,P388/ADM,108,108,108,108
727,B-cell line,1109,1109,1109,1109
728,Mammary carcinoma cell line,1122,1122,1122,1122
729,Murine T-cell line,1125,1125,1125,1125
730,NCI-H647,1191,1191,1191,1191
731,NCI-H417,27,27,27,27
732,NCI-N87,97,97,97,97
733,NFF,543,543,543,543
734,NFS-60,98,98,98,98
735,NHDF,281,281,281,281
736,NHIK3025,99,99,99,99
737,NIH-H,1192,1192,1192,1192
738,NIH-K,1193,1193,1193,1193
739,N592,876,876,876,876
740,NAKAJIMA,70,70,70,70
741,NALL-1,215,215,215,215
742,NALM-6,540,540,540,540
743,NB-4,541,541,541,541
744,NC-37,91,91,91,91
745,NCH37,216,216,216,216
746,NCH89,280,280,280,280
747,NCI-H84,96,96,96,96
748,NCI-H1437,1289,1289,1289,1289
749,NCI-H345,95,95,95,95
750,NCI-H46,55,55,55,55
751,TE-671,266,266,266,266
752,OVCAR-3,547,547,547,547
753,OVCAR-4,493,493,493,493
754,OVCAR-5,548,548,548,548
755,OVCAR-8,341,341,341,341
756,OVXF1023 cell line,1197,1197,1197,1197
757,OVXF1353 cell line,831,831,831,831
758,NRK,28,28,28,28
759,NRK-49F,101,101,101,101
760,NRKE,102,102,102,102
761,NSCLC,340,340,340,340
762,NT2,544,544,544,544
763,NTERA-2-cl-D1,282,282,282,282
764,NUGC,103,103,103,103
765,NAMALVA,54,54,54,54
766,N2a,497,497,497,497
767,OK-1,104,104,104,104
768,OM-1,71,71,71,71
769,OV-1063,105,105,105,105
770,OVCAR,106,106,106,106
771,P388CPT,111,111,111,111
772,Ovarian carcinoma cell,678,678,678,678
773,Panel ovarian (Carcinoma cell lines),767,767,767,767
774,P1534J ,283,283,283,283
775,P19,63,63,63,63
776,P388/CPA ,109,109,109,109
777,P388/DDP,72,72,72,72
778,P388/S,110,110,110,110
779,P388CPT5,112,112,112,112
780,P388PtR4,113,113,113,113
781,PA-1,761,761,761,761
782,PAC-2 cell line,843,843,843,843
783,PAM212,116,116,116,116
784,PAM,285,285,285,285
785,PAM12,115,115,115,115
786,PANC-1,525,525,525,525
787,PAXF546,31,31,31,31
788,PAXF736,117,117,117,117
789,PE,1172,1172,1172,1172
790,PEU,286,286,286,286
791,PG-49 cell line,1173,1173,1173,1173
792,PHA-Ly,557,557,557,557
793,PC10,118,118,118,118
794,PLC,32,32,32,32
795,PLC-PRF-5,1431,1431,1431,1431
796,PMC,957,957,957,957
797,PC-14,73,73,73,73
798,PO3,119,119,119,119
799,POVD,5557,5557,5557,5557
800,PD-145,1171,1171,1171,1171
801,PS,121,121,121,121
802,PTP,1176,1176,1176,1176
803,1A9/ptx-22,454,454,454,454
804,ptx-10/22,74,74,74,74
805,PrEC,120,120,120,120
806,Panel prostate (Carcinoma cell lines),685,685,685,685
807,ScN2a,462,462,462,462
808,QG-90,123,123,123,123
809,QG-95,56,56,56,56
810,QG-96,159,159,159,159
811,R1,160,160,160,160
812,R1-CCRF-CEM,599,599,599,599
813,Splenocyte,321,321,321,321
815,R2,5586,5586,5586,5586
