,cell_name,id_24,id_25,id_26,id_27
1542,GCIY,1476,1476,1476,1476
1543,GI-1,1477,1477,1477,1477
1544,GI-ME-N,1622,1622,1622,1622
1545,GR-ST,1524,1524,1524,1524
1546,GT3TKB,1578,1578,1578,1578
1547,HC-1,1479,1479,1479,1479
1548,HCC1143,1252,1252,1252,1252
1549,HCC1187,1623,1623,1623,1623
1550,HCC1419,1253,1253,1253,1253
1551,HCC1569,1254,1254,1254,1254
1552,HCC1599,1624,1624,1624,1624
1553,HCC2157,1625,1625,1625,1625
1554,HCE-4,1525,1525,1525,1525
1555,HCE-T,1526,1526,1526,1526
1556,HN,1259,1259,1259,1259
1557,HO-1-N-1,1260,1260,1260,1260
1558,HT55,1263,1263,1263,1263
1559,HuO-3N1,1426,1426,1426,1426
1560,HuO9,1265,1265,1265,1265
1561,IA-LM,1527,1527,1527,1527
1562,IMR-5,1528,1528,1528,1528
1563,IST-MEL1,1668,1668,1668,1668
1564,IST-MES1,1669,1669,1669,1669
1565,IST-SL1,1628,1628,1628,1628
1566,IST-SL2,1629,1629,1629,1629
1567,J-RT3-T3-5,1731,1731,1731,1731
1568,JVM-3,1531,1531,1531,1531
1569,K052,1480,1480,1480,1480
1570,K5,1437,1437,1437,1437
1571,KALS-1,1582,1582,1582,1582
1572,KARPAS-422,1733,1733,1733,1733
1573,KARPAS-45,1694,1694,1694,1694
1574,KE-37,1532,1532,1532,1532
1575,KGN,1454,1454,1454,1454
1576,KINGS-1,1630,1630,1630,1630
1577,KLE,1455,1455,1455,1455
1578,KMOE-2,1583,1583,1583,1583
1579,KMS-12-PE,1695,1695,1695,1695
1580,KNS-42,1584,1584,1584,1584
1581,KNS-62,1585,1585,1585,1585
1582,KNS-81-FD,1696,1696,1696,1696
1583,KOSC-2,1268,1268,1268,1268
1584,KP-N-RT-BM-1,1744,1744,1744,1744
1585,KP-N-YN,1631,1631,1631,1631
1586,KP-N-YS,1632,1632,1632,1632
1587,KS-1,1481,1481,1481,1481
1588,KURAMOCHI,1697,1697,1697,1697
1589,KY821,1534,1534,1534,1534
1590,L-540,1537,1537,1537,1537
1591,LAN-6,1538,1538,1538,1538
1592,LB1047-RCC,1734,1734,1734,1734
1593,LB2241-RCC,1735,1735,1735,1735
1594,LB2518-MEL,1736,1736,1736,1736
1595,LB373-MEL-D,1741,1741,1741,1741
1596,LB647-SCLC,1737,1737,1737,1737
1597,LB771-HNC,1698,1698,1698,1698
1598,LB831-BLC,1699,1699,1699,1699
1599,LB996-RCC,1700,1700,1700,1700
1600,LC-1F,1539,1539,1539,1539
1601,LC-2-ad,1634,1634,1634,1634
1602,LC4-1,1540,1540,1540,1540
1603,LNCaP-Clone-FGC,1747,1747,1747,1747
1604,LOUCY,1541,1541,1541,1541
1605,LS-123,1586,1586,1586,1586
1606,LS-411N,1636,1636,1636,1636
1607,LU-134-A,1671,1671,1671,1671
1608,LU-139,1588,1588,1588,1588
1609,LU-165,1589,1589,1589,1589
1610,MC-CAR,1590,1590,1590,1590
1611,MDA-MB-134-VI,1745,1745,1745,1745
1612,MDA-MB-175-VII,1279,1279,1279,1279
1613,MFH-ino,1637,1637,1637,1637
1614,MFM-223,1401,1401,1401,1401
1615,MHH-CALL-2,1738,1738,1738,1738
1616,MHH-ES-1,1284,1284,1284,1284
1617,MHH-NB-11,1701,1701,1701,1701
1618,MHH-PREB-1,1739,1739,1739,1739
1619,MLMA,1483,1483,1483,1483
1620,MMAC-SF,1638,1638,1638,1638
1621,MN-60,1544,1544,1544,1544
1622,MOLT-13,1639,1639,1639,1639
1623,MOLT-16,1640,1640,1640,1640
1624,MPP-89,1592,1592,1592,1592
1625,MRK-nu-1,1672,1672,1672,1672
1626,MZ1-PC,1593,1593,1593,1593
1627,MZ2-MEL,1641,1641,1641,1641
1628,MZ7-mel,1642,1642,1642,1642
1629,NB10,1486,1486,1486,1486
1630,NB12,1487,1487,1487,1487
1631,NB13,1488,1488,1488,1488
1632,NB14,1489,1489,1489,1489
1633,NB17,1490,1490,1490,1490
1634,NB5,1457,1457,1457,1457
1635,NB6,1458,1458,1458,1458
1636,NB7,1459,1459,1459,1459
1637,NBsusSR,1643,1643,1643,1643
1638,NCCIT,1287,1287,1287,1287
1639,NCI-H1092,1702,1702,1702,1702
1640,NCI-H1155,1703,1703,1703,1703
1641,NCI-H1304,1704,1704,1704,1704
1642,NCI-H1436,1708,1708,1708,1708
1643,NCI-H1522,1709,1709,1709,1709
1644,3T3,5560,5560,5560,5560
1645,TOV112D,5549,5549,5549,5549
1646,UMSCC1,5550,5550,5550,5550
1647,UMSCC14A,5548,5548,5548,5548
1648,Cardiac Muscle Cell,5576,5576,5576,5576
